ID#	1
Name	Methane
	Data Filename	Date Acquired	Sample Name	Sample Type	Level#	Ret. Time	Area	Conc.	Std. Conc.	Cal. Point	Accuracy[%]	Deviation
60	AGH15aug19_43.gcd	8/16/2019 4:03:42 PM	air	Unknown	0	6.087	1721	1.952	-----	-----	-----	-----
61	AGH15aug19_44.gcd	8/16/2019 4:34:20 PM	std add +100	Unknown	0	6.024	1023048	2162.962	-----	-----	-----	-----
62	AGH15aug19_45.gcd	8/16/2019 5:05:00 PM	105	Unknown	0	6.032	14772	31.642	-----	-----	-----	-----
63	AGH15aug19_46.gcd	8/16/2019 5:35:40 PM	140	Unknown	0	6.041	6603	13.067	-----	-----	-----	-----
64	AGH15aug19_47.gcd	8/16/2019 6:06:19 PM	073	Unknown	0	6.049	3792	6.667	-----	-----	-----	-----
65	AGH15aug19_48.gcd	8/16/2019 6:36:56 PM	106	Unknown	0	6.036	9054	18.641	-----	-----	-----	-----
66	AGH15aug19_49.gcd	8/16/2019 7:07:37 PM	163	Unknown	0	6.030	66774	149.333	-----	-----	-----	-----
67	AGH15aug19_50.gcd	8/16/2019 7:38:16 PM	136	Unknown	0	6.033	11474	24.145	-----	-----	-----	-----
68	AGH15aug19_51.gcd	8/16/2019 8:08:55 PM	127	Unknown	0	6.075	1697	1.898	-----	-----	-----	-----
69	AGH15aug19_52.gcd	8/16/2019 8:39:34 PM	082	Unknown	0	6.039	5937	11.551	-----	-----	-----	-----
70	AGH15aug19_53.gcd	8/16/2019 9:10:12 PM	148	Unknown	0	6.030	58794	131.335	-----	-----	-----	-----
71	AGH15aug19_54.gcd	8/16/2019 9:40:50 PM	119	Unknown	0	6.029	54900	122.545	-----	-----	-----	-----
72	AGH15aug19_55.gcd	8/16/2019 10:11:28 PM	042	Unknown	0	6.023	1112707	2339.162	-----	-----	-----	-----
73	AGH15aug19_56.gcd	8/16/2019 10:42:08 PM	201	Unknown	0	6.029	50864	113.429	-----	-----	-----	-----
74	AGH15aug19_57.gcd	8/16/2019 11:12:45 PM	210	Unknown	0	6.030	16695	36.012	-----	-----	-----	-----
75	AGH15aug19_58.gcd	8/16/2019 11:43:25 PM	154	Unknown	0	6.022	1751921	3544.609	-----	-----	-----	-----
76	AGH15aug19_59.gcd	8/17/2019 12:14:04 AM	059	Unknown	0	6.060	2166	2.966	-----	-----	-----	-----
77	AGH15aug19_60.gcd	8/17/2019 12:44:42 AM	181	Unknown	0	6.030	1524064	3124.555	-----	-----	-----	-----
78	AGH15aug19_61.gcd	8/17/2019 1:15:18 AM	068	Unknown	0	6.049	5400	10.327	-----	-----	-----	-----
