Reservoir,Site,Date,Depth_m,Chla_ugL,Pheo_ugL,Flag_Chla,Flag_Pheo
SHR,50,2015-06-26,31,1.2,1.3,0,0
SHR,50,2015-07-10,0.1,0.6,0.3,4,4
SHR,50,2015-07-10,8,1.2,0.1,0,4
SHR,50,2015-07-10,31,0,0.4,4,4
SHR,50,2015-07-24,0.1,0,0,4,4
SHR,50,2015-07-24,8,0.6,0.7,4,4
SHR,50,2015-07-24,31,0.6,-1,4,4
SHR,50,2015-08-07,8,1.2,NA,2,2
SHR,50,2015-08-26,0.1,1.2,NA,2,2
SHR,50,2015-09-09,8,1.2,6.3,2,2
FCR,50,2016-04-25,3.8,2.1,0.4,1,1
FCR,50,2016-04-25,5,3.5,2,1,1
FCR,50,2016-05-02,1.6,3.5,0,1,1
FCR,50,2016-05-02,6.2,4.8,2.6,0,0
FCR,50,2016-05-09,3.8,4.2,2.3,0,0
FCR,50,2016-05-09,5,5.5,2.4,0,0
FCR,50,2016-05-16,5,8.2,3.6,0,0
FCR,50,2016-05-16,6.2,6.9,3.4,0,0
FCR,50,2016-05-23,5,11.9,5.2,0,0
FCR,50,2016-05-23,6,10.4,5.6,0,0
FCR,50,2016-05-30,1.6,4.2,0.8,1,1
FCR,50,2016-05-30,1.6,4.2,3.8,0,0
FCR,50,2016-05-30,5,4.2,3.3,0,0
FCR,50,2016-05-30,6.2,4.2,2.3,1,1
FCR,50,2016-05-31,5,4.8,3.1,0,0
FCR,50,2016-05-31,6.2,4.8,4.6,0,0
FCR,50,2016-06-02,1.6,4.8,2.6,0,0
FCR,50,2016-06-02,5,5.5,2.9,0,0
FCR,50,2016-06-06,3.8,11.1,2.9,0,0
FCR,50,2016-06-06,5,9.7,2.8,0,0
FCR,50,2016-06-13,1.6,4.2,1.8,0,0
FCR,50,2016-06-13,3.8,11.4,2.8,0,0
FCR,50,2016-06-13,5,9,3.5,0,0
FCR,50,2016-06-20,3.8,13.4,7.8,0,0
FCR,50,2016-06-20,5,12.3,7.8,0,0
FCR,50,2016-06-27,3.8,9.7,7.2,0,0
FCR,50,2016-06-27,5,9.8,7.1,0,0
FCR,50,2016-06-28,1.6,5.2,3.8,0,0
FCR,50,2016-06-28,3.8,6.1,4.5,0,0
FCR,50,2016-06-28,5,6.9,4.2,0,0
FCR,50,2016-06-30,4.1,6.9,3.9,0,0
FCR,50,2016-06-30,5,7.5,5.8,0,0
FCR,50,2016-07-05,1.6,7.8,4.2,0,0
FCR,50,2016-07-05,3.8,10.7,6,0,0
FCR,50,2016-07-11,3.8,7.9,4,0,0
FCR,50,2016-07-11,5,11.1,4.8,0,0
FCR,50,2016-07-18,3.8,11.5,4.7,0,0
FCR,50,2016-07-18,5,7.1,3.7,0,0
FCR,50,2016-07-25,3.8,3.9,0.7,3,3
FCR,50,2016-07-25,6,18.7,2.7,3,3
FCR,50,2016-07-27,4,6.5,2,3,3
FCR,50,2016-07-27,7,24.9,5.2,3,3
FCR,50,2016-08-01,2.8,8.5,1.7,3,3
FCR,50,2016-08-01,4.5,7.5,1.9,3,3
FCR,50,2016-08-01,6.2,57.1,12.7,3,3
FCR,50,2016-08-08,1.6,7,2.2,0,0
FCR,50,2016-08-08,5,56.7,12.8,3,3
FCR,50,2016-08-15,3.8,10.8,6.3,3,3
FCR,50,2016-08-15,5,25.9,10.7,3,3
FCR,50,2016-08-26,3.8,16.1,13.3,3,3
FCR,50,2016-08-26,5,34.2,18.3,3,3
FCR,50,2016-09-02,1.6,10.6,5.9,0,0
FCR,50,2016-09-02,3.8,11.4,14.8,0,0
FCR,50,2016-09-09,3.8,20.8,11.9,0,0
FCR,50,2016-09-09,5,21.8,14.8,0,0
FCR,50,2016-09-20,1.6,13.1,7.4,0,0
FCR,50,2016-09-20,5,11.8,6.9,0,0
FCR,50,2016-09-30,2,14.5,6.1,0,0
FCR,50,2016-09-30,6,28.2,9.5,0,0
FCR,50,2016-10-07,1.6,12.1,5.3,0,0
FCR,50,2016-10-07,5,7.3,5.1,0,0
BVR,50,2016-04-20,6,3.9,2.9,0,0
BVR,50,2016-05-04,7,8.3,1.7,0,0
BVR,50,2016-05-12,7.5,8.3,1.7,0,0
BVR,50,2016-05-19,7,8.6,4.2,0,0
BVR,50,2016-05-26,9,56.7,9.5,0,0
BVR,50,2016-05-29,9,46.3,9.9,0,0
BVR,50,2016-05-31,9,38,10.3,0,0
BVR,50,2016-06-02,7,15.2,5.2,0,0
BVR,50,2016-06-08,6,3.5,2.9,0,0
BVR,50,2016-06-08,9,68.7,10.7,0,0
BVR,50,2016-06-16,6,2.9,1,0,0
BVR,50,2016-06-16,9,76.7,15.1,0,0
BVR,50,2016-06-23,5,5.4,2,0,0
BVR,50,2016-06-23,9,48.1,10.2,0,0
BVR,50,2016-06-26,6,9.2,4.7,0,0
BVR,50,2016-06-26,9,85.8,16.1,0,0
BVR,50,2016-06-28,4,5.5,1.7,0,0
BVR,50,2016-06-28,9,95.1,13.5,0,0
BVR,50,2016-06-30,4,8.6,3.8,0,0
BVR,50,2016-06-30,9,158,22,0,0
BVR,50,2016-07-07,5,13.4,6.1,0,0
BVR,50,2016-07-07,9,93.6,12.9,0,0
BVR,50,2016-07-14,4,13.8,6.8,0,0
BVR,50,2016-07-14,7.5,54.6,14.8,0,0
BVR,50,2016-07-21,5,17.6,4.8,3,3
BVR,50,2016-07-21,7,74.7,5.7,3,3
BVR,50,2016-07-24,6.8,41.2,8.6,3,3
BVR,50,2016-07-28,4,6.7,1.4,3,3
BVR,50,2016-07-28,7,33.4,9.3,3,3
BVR,50,2016-08-04,7,68.8,10.6,3,3
BVR,50,2016-08-11,3.5,11.3,2.9,0,0
BVR,50,2016-08-11,7,55.7,7.1,3,3
BVR,50,2016-08-18,4,9.1,1.3,3,3
BVR,50,2016-08-18,6,19,3.4,3,3
BVR,50,2016-08-23,4,17.5,6.7,0,0
BVR,50,2016-08-23,6.5,68.1,15,0,0
BVR,50,2016-09-06,3,8.3,3.2,0,0
BVR,50,2016-09-06,7,31.5,16.1,0,0
BVR,50,2016-09-17,3,12.8,5.1,0,0
BVR,50,2016-09-17,6,130.7,NA,0,2
BVR,50,2016-09-27,1.5,10.6,7,0,0
BVR,50,2016-09-27,7,11,7.9,0,0
BVR,50,2016-10-11,3,6.1,3.6,0,0
BVR,50,2016-10-11,9,74.8,NA,0,2
BVR,50,2016-10-25,3,5.2,2.1,0,0
BVR,50,2018-05-04,0.1,3,0.4,0,0
BVR,50,2018-05-04,0.1,2.6,0.7,0,0
BVR,50,2018-05-04,3,4.5,1.7,0,0
BVR,50,2018-05-04,6,16.2,-17.9,4,4
BVR,50,2018-05-11,0.1,3.2,0.6,0,0
BVR,50,2018-05-11,3,3.5,1.1,0,0
BVR,50,2018-05-11,6,2.9,2.3,0,0
FCR,50,2018-04-23,0.1,1.9,1,0,0
FCR,50,2018-04-23,1.6,1.9,0.7,0,0
FCR,50,2018-04-23,3.8,3.7,2.6,0,0
FCR,50,2018-04-23,3.8,3.7,1.6,0,0
FCR,50,2018-04-23,5,8.4,3.6,0,0
FCR,50,2018-05-07,0.1,1.9,0.4,0,0
FCR,50,2018-05-07,0.1,1.9,0.3,0,0
FCR,50,2018-05-07,1.6,1.9,0.6,0,0
FCR,50,2018-05-07,3.8,2.3,0.5,0,0
FCR,50,2018-05-07,5,1.9,0.8,0,0
FCR,50,2018-05-14,0.1,1.2,0.4,0,0
FCR,50,2018-05-14,3.8,3.1,0.9,0,0
BVR,50,2018-05-17,0.1,4.8,1,0,0
FCR,50,2018-05-21,0.1,3.3,0.9,0,0
FCR,50,2018-05-28,0.1,6.7,2.6,0,0
FCR,50,2018-06-25,3.8,9,2.5,0,0
BVR,50,2018-06-14,0.1,9,1.7,0,0
CCR,50,2018-06-27,6,4,2.4,0,0
BVR,50,2018-06-14,3,13.5,7.2,0,0
FCR,50,2018-05-28,5,3.1,2.8,0,0
FCR,50,2018-06-25,0.1,10.6,2.2,0,0
CCR,50,2018-05-16,12,3.5,1.6,0,0
BVR,50,2018-06-21,3,12.1,3.1,0,0
BVR,50,2018-06-21,6,8.9,2.5,0,0
FCR,50,2018-05-21,1.6,4.4,1.7,0,0
BVR,50,2018-06-28,6,24.2,4.2,0,0
CCR,50,2018-05-16,6,4,1.4,0,0
FCR,50,2018-06-04,5,3,2.9,0,0
CCR,50,2018-06-27,12,1,1.5,0,0
FCR,50,2018-05-28,3.8,5.3,3.5,0,0
FCR,50,2018-06-25,0.1,10.4,2.1,0,0
BVR,50,2018-05-31,6,2.4,0.9,0,0
FCR,50,2018-06-18,0.1,3.7,0.8,0,0
FCR,50,2018-05-21,3.8,3.7,2.7,0,0
BVR,50,2018-05-24,3,4.2,1.8,0,0
FCR,50,2018-06-18,3.8,5.2,2.6,0,0
BVR,50,2018-05-31,3,10.1,3.4,0,0
FCR,50,2018-05-28,1.6,8.5,3.3,0,0
FCR,50,2018-06-04,1.6,3,2.6,0,0
BVR,50,2018-05-24,6,2.2,1.5,0,0
FCR,50,2018-06-25,5,5.6,2.9,0,0
BVR,50,2018-06-28,3,23.9,4.3,0,0
CCR,50,2018-05-16,6,3.6,1.2,0,0
BVR,50,2018-06-28,0.1,23.9,2.3,0,0
BVR,50,2018-05-24,0.1,3.2,1.4,0,0
FCR,50,2018-06-11,0.1,3.2,1.1,0,0
FCR,50,2018-05-28,1.6,8.3,2.7,0,0
BVR,50,2018-06-14,3,13.5,6.2,0,0
BVR,50,2018-06-21,3,9.3,1.1,0,0
FCR,50,2018-06-25,1.6,9.9,2.5,0,0
BVR,50,2018-05-17,6,2.8,1.2,0,0
FCR,50,2018-06-11,1.6,3.5,0.4,0,0
CCR,50,2018-06-27,0.1,3.9,1.5,0,0
FCR,50,2018-05-21,5,3.3,2.1,0,0
FCR,50,2018-06-18,1.6,3.7,0.7,0,0
BVR,50,2018-05-31,0.1,8.6,2.4,0,0
