Reservoir,Site,DateTime,Depth_m,DRSI_mgL,Flag_DRSI,Date
SHR,50,2014-06-12T15:00:00Z,0.1,4.017526,0,2014-06-12
SHR,50,2014-06-12T15:00:00Z,8,4.618558,0,2014-06-12
SHR,50,2014-06-12T15:00:00Z,28,5.169504,0,2014-06-12
SHR,50,2014-06-26T12:15:00Z,0.1,4.368128,0,2014-06-26
SHR,50,2014-06-26T12:15:00Z,7,5.019246,0,2014-06-26
SHR,50,2014-06-26T12:15:00Z,28,4.868988,0,2014-06-26
SHR,50,2014-07-10T00:00:00Z,0.1,3.767096,0,2014-07-10
SHR,50,2014-07-10T00:00:00Z,7,4.618558,0,2014-07-10
SHR,50,2014-07-10T00:00:00Z,28,5.269676,0,2014-07-10
SHR,50,2014-07-24T12:45:00Z,0.1,4.017526,0,2014-07-24
SHR,50,2014-07-24T12:45:00Z,7,4.868988,0,2014-07-24
SHR,50,2014-07-24T12:45:00Z,28,5.319762,0,2014-07-24
SHR,50,2014-08-07T10:00:00Z,0.1,3.506584,0,2014-08-07
SHR,50,2014-08-07T10:00:00Z,7,4.24928,0,2014-08-07
SHR,50,2014-08-07T10:00:00Z,28,4.424032,0,2014-08-07
SHR,50,2014-09-05T13:30:00Z,0.1,3.288144,0,2014-09-05
SHR,50,2014-09-05T13:30:00Z,7,5.079352,0,2014-09-05
SHR,50,2014-09-05T13:30:00Z,28,5.533166,0,2014-09-05
SHR,50,2014-10-03T13:30:00Z,0.1,3.37552,0,2014-10-03
SHR,50,2014-10-03T13:30:00Z,8,3.751757,0,2014-10-03
SHR,50,2014-10-03T13:30:00Z,28,5.472544,0,2014-10-03
SHR,50,2014-10-24T16:00:00Z,0.1,3.8124,0,2014-10-24
SHR,50,2014-10-24T16:00:00Z,7,4.424032,0,2014-10-24
SHR,50,2014-10-24T16:00:00Z,28,5.647296,0,2014-10-24
SML,50,2014-05-06T12:00:00Z,0.1,3.912072,0,2014-05-06
SML,50,2014-05-06T12:00:00Z,8,4.5925,0,2014-05-06
SML,50,2014-05-06T12:00:00Z,30,5.272928,0,2014-05-06
SML,50,2014-06-03T10:30:00Z,0.1,0.21099,0,2014-06-03
SML,50,2014-06-03T10:30:00Z,8,2.164344,0,2014-06-03
SML,50,2014-06-03T10:30:00Z,25,3.917354,0,2014-06-03
SML,50,2014-06-10T12:00:00Z,0.1,0,0,2014-06-10
SML,50,2014-06-10T12:00:00Z,8,2.665204,0,2014-06-10
SML,50,2014-06-24T12:00:00Z,0.1,0.311162,0,2014-06-24
SML,50,2014-06-24T12:00:00Z,6,3.566752,0,2014-06-24
SML,50,2014-06-24T12:00:00Z,25,4.067612,0,2014-06-24
SML,50,2014-07-08T11:30:00Z,0.1,0.411334,0,2014-07-08
SML,50,2014-07-08T11:30:00Z,7,0.71185,0,2014-07-08
SML,50,2014-07-08T11:30:00Z,25,3.616838,0,2014-07-08
SML,50,2014-07-22T12:00:00Z,0.1,1.312882,0,2014-07-22
SML,50,2014-07-22T12:00:00Z,7,3.566752,0,2014-07-22
SML,50,2014-07-22T12:00:00Z,25,4.067612,0,2014-07-22
SML,50,2014-08-05T11:30:00Z,0.1,1.016368,0,2014-08-05
SML,50,2014-08-05T11:30:00Z,6,1.977504,0,2014-08-05
SML,50,2014-08-05T11:30:00Z,28,3.288144,0,2014-08-05
SML,50,2014-08-19T12:00:00Z,0.1,1.188266,0,2014-08-19
SML,50,2014-08-19T12:00:00Z,7,2.622083,0,2014-08-19
SML,50,2014-08-19T12:00:00Z,25,4.099349,0,2014-08-19
SML,50,2014-09-23T14:30:00Z,0.1,1.540624,0,2014-09-23
SML,50,2014-09-23T14:30:00Z,7,2.50176,0,2014-09-23
SML,50,2014-09-23T14:30:00Z,28,2.7202,0,2014-09-23
FCR,100,2014-04-21T12:00:00Z,0.1,12.462624,0,2014-04-21
FCR,100,2014-04-28T12:00:00Z,0.1,7.184228,0,2014-04-28
FCR,100,2014-05-05T12:00:00Z,0.1,5.953112,0,2014-05-05
FCR,100,2014-05-12T12:00:00Z,0.1,5.79386,0,2014-05-12
FCR,100,2014-05-19T12:00:00Z,0.1,0,4,2014-05-19
FCR,100,2014-05-26T12:00:00Z,0.1,9.747719,0,2014-05-26
FCR,100,2014-06-02T12:00:00Z,0.1,4.618558,0,2014-06-02
FCR,100,2014-06-09T12:00:00Z,0.1,9.579216,0,2014-06-09
FCR,100,2014-06-16T12:00:00Z,0.1,9.49184,0,2014-06-16
FCR,100,2014-06-23T12:00:00Z,0.1,9.71028,0,2014-06-23
FCR,100,2014-06-29T12:00:00Z,0.1,2.676512,0,2014-06-29
FCR,100,2014-06-30T12:00:00Z,0.1,8.923896,0,2014-06-30
FCR,100,2014-07-07T12:00:00Z,0.1,7.176376,0,2014-07-07
FCR,100,2014-07-14T12:00:00Z,0.1,4.598784,0,2014-07-14
FCR,100,2014-07-21T12:00:00Z,0.1,4.729848,0,2014-07-21
FCR,100,2014-07-28T12:00:00Z,0.1,7.263752,0,2014-07-28
FCR,100,2014-08-04T12:00:00Z,0.1,8.443328,0,2014-08-04
FCR,100,2014-08-11T12:00:00Z,0.1,9.400127,0,2014-08-11
FCR,100,2014-08-18T12:00:00Z,0.1,6.783184,0,2014-08-18
FCR,100,2014-08-25T12:00:00Z,0.1,7.922861,0,2014-08-25
FCR,100,2014-09-03T12:00:00Z,0.1,11.181536,0,2014-09-03
FCR,100,2014-09-08T12:00:00Z,0.1,2.187593,0,2014-09-08
FCR,100,2014-09-15T12:00:00Z,0.1,5.620064,0,2014-09-15
FCR,100,2014-09-22T12:00:00Z,0.1,9.139433,0,2014-09-22
FCR,100,2014-09-29T12:00:00Z,0.1,10.877393,0,2014-09-29
FCR,100,2014-10-06T12:00:00Z,0.1,6.098003,0,2014-10-06
FCR,100,2014-10-15T12:00:00Z,0.1,4.642472,0,2014-10-15
FCR,100,2014-10-23T12:00:00Z,0.1,9.098648,0,2014-10-23
FCR,100,2014-11-10T12:00:00Z,0.1,8.880208,0,2014-11-10
