miniWiper Concatenated Data File
Logger:             5958-292374
Concatenation Date: 2019Jun14 16:04:02 EDT
Wipe Type: 1 Scrub: 0 Angle: 45 (deg)
Timeout: 10 (second)  Threshold: 200 (mA)


            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Wipes Completed,     Wipe Time,  Forward Start Current,  Average Current,  Reverse Start Current,  Final Current,  Source Resistance
                  (Second),                        (none),                        (none),        (Volt),       (deg C),           (none),      (second),                   (mA),             (mA),                   (mA),           (mA),              (Ohm)
                1544659200,           2018-12-13 00:00:00,           2018-12-12 19:00:00,      3.420000,     10.711000,              647,           6.2,                   98.0,             88.4,                   98.0,          215.4,                1.2
                1544666400,           2018-12-13 02:00:00,           2018-12-12 21:00:00,      3.420000,     11.232000,              648,           6.3,                   97.4,             89.5,                   97.4,          204.5,                1.2
                1544673600,           2018-12-13 04:00:00,           2018-12-12 23:00:00,      3.430000,     11.754000,              649,           6.2,                   94.4,             86.9,                   94.4,          230.1,                1.3
                1544680800,           2018-12-13 06:00:00,           2018-12-13 01:00:00,      3.430000,     11.493000,              650,           6.4,                   98.7,             90.1,                   98.7,          234.1,                1.3
                1544688000,           2018-12-13 08:00:00,           2018-12-13 03:00:00,      3.430000,     11.232000,              651,           6.2,                   96.2,             87.2,                   96.2,          224.9,                1.3
                1544695200,           2018-12-13 10:00:00,           2018-12-13 05:00:00,      3.430000,     11.232000,              652,           6.3,                   97.9,             89.8,                   97.9,          202.6,                1.3
                1544702400,           2018-12-13 12:00:00,           2018-12-13 07:00:00,      3.360000,     10.190000,              653,           6.3,                   99.2,             86.8,                   99.2,          235.4,                1.4
                1544709600,           2018-12-13 14:00:00,           2018-12-13 09:00:00,      3.420000,     11.232000,              654,           6.2,                   95.7,             86.6,                   95.7,          229.5,                1.2
                1544716800,           2018-12-13 16:00:00,           2018-12-13 11:00:00,      3.420000,     11.232000,              655,           6.3,                   97.4,             89.7,                   97.4,          203.0,                1.2
                1544724000,           2018-12-13 18:00:00,           2018-12-13 13:00:00,      3.430000,     11.493000,              656,           6.2,                   95.6,             86.9,                   95.6,          230.7,                1.3
                1544731200,           2018-12-13 20:00:00,           2018-12-13 15:00:00,      3.430000,     11.493000,              657,           6.3,                   97.5,             89.3,                   97.5,          209.5,                1.2
                1544738400,           2018-12-13 22:00:00,           2018-12-13 17:00:00,      3.430000,     11.232000,              658,           6.2,                   96.2,             86.3,                   96.2,          230.1,                1.3
                1544745600,           2018-12-14 00:00:00,           2018-12-13 19:00:00,      3.430000,     11.754000,              659,           6.3,                   95.9,             89.0,                   95.9,          213.6,                1.3
