"Plot Title: hobo65"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 2407063, SEN S/N: 2407063)","Bad Battery (LGR S/N: 2407063)","Coupler Attached (LGR S/N: 2407063)","Host Connected (LGR S/N: 2407063)","Coupler Detached (LGR S/N: 2407063)","Stopped (LGR S/N: 2407063)","End Of File (LGR S/N: 2407063)"
368,12/09/18 06:10:00 AM,4.311,,,,,,
369,12/09/18 06:20:00 AM,4.311,,,,,,
370,12/09/18 06:30:00 AM,4.311,,,,,,
371,12/09/18 06:40:00 AM,4.311,,,,,,
372,12/09/18 06:50:00 AM,4.311,,,,,,
373,12/09/18 07:00:00 AM,4.311,,,,,,
374,12/09/18 07:10:00 AM,4.311,,,,,,
375,12/09/18 07:20:00 AM,4.311,,,,,,
376,12/09/18 07:30:00 AM,4.311,,,,,,
377,12/09/18 07:40:00 AM,4.311,,,,,,
378,12/09/18 07:50:00 AM,4.311,,,,,,
379,12/09/18 08:00:00 AM,4.311,,,,,,
380,12/09/18 08:10:00 AM,4.311,,,,,,
381,12/09/18 08:20:00 AM,4.311,,,,,,
382,12/09/18 08:30:00 AM,4.311,,,,,,
383,12/09/18 08:40:00 AM,4.311,,,,,,
384,12/09/18 08:50:00 AM,4.311,,,,,,
385,12/09/18 09:00:00 AM,4.311,,,,,,
386,12/09/18 09:10:00 AM,4.311,,,,,,
387,12/09/18 09:20:00 AM,4.311,,,,,,
388,12/09/18 09:30:00 AM,4.311,,,,,,
389,12/09/18 09:40:00 AM,4.311,,,,,,
390,12/09/18 09:50:00 AM,4.311,,,,,,
391,12/09/18 10:00:00 AM,4.207,,,,,,
392,12/09/18 10:10:00 AM,4.207,,,,,,
393,12/09/18 10:20:00 AM,4.207,,,,,,
394,12/09/18 10:30:00 AM,4.207,,,,,,
395,12/09/18 10:40:00 AM,4.207,,,,,,
396,12/09/18 10:50:00 AM,4.207,,,,,,
397,12/09/18 11:00:00 AM,4.207,,,,,,
398,12/09/18 11:10:00 AM,4.207,,,,,,
399,12/09/18 11:20:00 AM,4.207,,,,,,
400,12/09/18 11:30:00 AM,4.207,,,,,,
401,12/09/18 11:40:00 AM,4.207,,,,,,
402,12/09/18 11:50:00 AM,4.207,,,,,,
403,12/09/18 12:00:00 PM,4.207,,,,,,
404,12/09/18 12:10:00 PM,4.207,,,,,,
405,12/09/18 12:20:00 PM,4.207,,,,,,
406,12/09/18 12:30:00 PM,4.207,,,,,,
407,12/09/18 12:40:00 PM,4.207,,,,,,
408,12/09/18 12:50:00 PM,4.207,,,,,,
409,12/09/18 01:00:00 PM,4.207,,,,,,
410,12/09/18 01:10:00 PM,4.207,,,,,,
411,12/09/18 01:20:00 PM,4.207,,,,,,
412,12/09/18 01:30:00 PM,4.207,,,,,,
413,12/09/18 01:40:00 PM,4.207,,,,,,
414,12/09/18 01:50:00 PM,4.207,,,,,,
415,12/09/18 02:00:00 PM,4.207,,,,,,
416,12/09/18 02:10:00 PM,4.207,,,,,,
417,12/09/18 02:20:00 PM,4.207,,,,,,
418,12/09/18 02:30:00 PM,4.207,,,,,,
419,12/09/18 02:40:00 PM,4.207,,,,,,
420,12/09/18 02:50:00 PM,4.102,,,,,,
421,12/09/18 03:00:00 PM,3.893,,,,,,
422,12/09/18 03:10:00 PM,3.683,,,,,,
423,12/09/18 03:20:00 PM,3.998,,,,,,
424,12/09/18 03:30:00 PM,3.893,,,,,,
425,12/09/18 03:40:00 PM,3.788,,,,,,
426,12/09/18 03:50:00 PM,3.893,,,,,,
427,12/09/18 04:00:00 PM,3.788,,,,,,
428,12/09/18 04:10:00 PM,3.683,,,,,,
429,12/09/18 04:20:00 PM,3.683,,,,,,
430,12/09/18 04:30:00 PM,3.788,,,,,,
431,12/09/18 04:40:00 PM,3.683,,,,,,
432,12/09/18 04:50:00 PM,3.788,,,,,,
433,12/09/18 05:00:00 PM,3.788,,,,,,
434,12/09/18 05:10:00 PM,3.788,,,,,,
435,12/09/18 05:20:00 PM,3.788,,,,,,
436,12/09/18 05:30:00 PM,3.788,,,,,,
437,12/09/18 05:40:00 PM,3.788,,,,,,
438,12/09/18 05:50:00 PM,3.788,,,,,,
439,12/09/18 06:00:00 PM,3.788,,,,,,
440,12/09/18 06:10:00 PM,3.788,,,,,,
441,12/09/18 06:20:00 PM,3.788,,,,,,
442,12/09/18 06:30:00 PM,3.893,,,,,,
443,12/09/18 06:40:00 PM,3.893,,,,,,
444,12/09/18 06:50:00 PM,3.998,,,,,,
445,12/09/18 07:00:00 PM,3.893,,,,,,
446,12/09/18 07:10:00 PM,3.893,,,,,,
447,12/09/18 07:20:00 PM,3.893,,,,,,
448,12/09/18 07:30:00 PM,3.893,,,,,,
449,12/09/18 07:40:00 PM,3.893,,,,,,
450,12/09/18 07:50:00 PM,3.998,,,,,,
451,12/09/18 08:00:00 PM,3.998,,,,,,
452,12/09/18 08:10:00 PM,3.998,,,,,,
453,12/09/18 08:20:00 PM,3.998,,,,,,
454,12/09/18 08:30:00 PM,3.998,,,,,,
455,12/09/18 08:40:00 PM,3.998,,,,,,
456,12/09/18 08:50:00 PM,3.998,,,,,,
457,12/09/18 09:00:00 PM,3.893,,,,,,
458,12/09/18 09:10:00 PM,3.893,,,,,,
459,12/09/18 09:20:00 PM,3.893,,,,,,
460,12/09/18 09:30:00 PM,3.893,,,,,,
461,12/09/18 09:40:00 PM,3.893,,,,,,
462,12/09/18 09:50:00 PM,3.893,,,,,,
463,12/09/18 10:00:00 PM,3.893,,,,,,
464,12/09/18 10:10:00 PM,3.998,,,,,,
465,12/09/18 10:20:00 PM,3.998,,,,,,
466,12/09/18 10:30:00 PM,3.893,,,,,,
467,12/09/18 10:40:00 PM,3.893,,,,,,
468,12/09/18 10:50:00 PM,3.893,,,,,,
469,12/09/18 11:00:00 PM,3.998,,,,,,
470,12/09/18 11:10:00 PM,3.998,,,,,,
471,12/09/18 11:20:00 PM,3.998,,,,,,
472,12/09/18 11:30:00 PM,3.998,,,,,,
473,12/09/18 11:40:00 PM,3.998,,,,,,
474,12/09/18 11:50:00 PM,3.998,,,,,,
475,12/10/18 12:00:00 AM,3.998,,,,,,
476,12/10/18 12:10:00 AM,3.998,,,,,,
477,12/10/18 12:20:00 AM,3.998,,,,,,
478,12/10/18 12:30:00 AM,3.998,,,,,,
479,12/10/18 12:40:00 AM,3.998,,,,,,
480,12/10/18 12:50:00 AM,3.998,,,,,,
481,12/10/18 01:00:00 AM,3.998,,,,,,
482,12/10/18 01:10:00 AM,3.998,,,,,,
483,12/10/18 01:20:00 AM,3.998,,,,,,
484,12/10/18 01:30:00 AM,3.998,,,,,,
485,12/10/18 01:40:00 AM,3.998,,,,,,
486,12/10/18 01:50:00 AM,3.998,,,,,,
487,12/10/18 02:00:00 AM,3.998,,,,,,
488,12/10/18 02:10:00 AM,3.998,,,,,,
489,12/10/18 02:20:00 AM,3.998,,,,,,
490,12/10/18 02:30:00 AM,4.102,,,,,,
491,12/10/18 02:40:00 AM,4.102,,,,,,
492,12/10/18 02:50:00 AM,4.102,,,,,,
493,12/10/18 03:00:00 AM,4.102,,,,,,
494,12/10/18 03:10:00 AM,4.102,,,,,,
495,12/10/18 03:20:00 AM,4.102,,,,,,
496,12/10/18 03:30:00 AM,4.102,,,,,,
497,12/10/18 03:40:00 AM,4.102,,,,,,
