Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2020-09-15T21:24:50Z,6.642,12.2622,4.9371,4.4459,65.005,48.307237,0.0585,0.783,15.524,82.3989,0.12378,4.809754635616836,0.074,0
2020-09-15T21:24:50Z,6.66,12.2385,4.8116,4.4028,65.877,48.925764,0.0567,0.799,15.524,81.6485,0.12377,4.881942019369918,0.076,0
2020-09-15T21:24:50Z,6.679,12.2092,4.7485,4.3863,66.906,49.659217,0.0566,0.809,15.525,80.8335,0.12377,4.9675189296888576,0.078,0
2020-09-15T21:24:50Z,6.7,12.1776,4.7361,4.3835,67.756,50.253666,0.0576,0.802,15.527,80.116,0.12377,5.0393791851667205,0.08,0
2020-09-15T21:24:50Z,6.723,12.1515,4.6902,4.265,68.346,50.651796,0.0589,0.792,15.528,79.4266,0.1237,5.08993425961502,0.08,0
2020-09-15T21:24:50Z,6.744,12.1325,4.6138,3.9846,68.405,50.662611,0.0598,0.787,15.528,78.4341,0.1237,5.097211886235458,0.078,0
2020-09-15T21:24:50Z,6.764,12.1097,4.5757,3.774,68.226,50.511404,0.0619,0.776,15.527,77.0645,0.12376,5.085998676953208,0.074,0
2020-09-15T21:24:50Z,6.783,12.0822,4.5727,3.7105,68.79,50.919247,0.0603,0.757,15.527,75.6859,0.12372,5.1348150087654725,0.069,0
2020-09-15T21:24:50Z,6.8,12.0515,4.5686,3.6627,70.484,52.164321,0.0592,0.74,15.528,74.4137,0.12367,5.274767622143069,0.067,0
2020-09-15T21:24:50Z,6.814,12.024,4.5727,3.5738,72.662,53.752646,0.0599,0.743,15.528,72.9527,0.12366,5.4537201843020755,0.067,0
2020-09-15T21:24:50Z,6.827,12.0124,4.5754,3.5278,74.688,55.197854,0.0583,0.76,15.529,71.2722,0.12366,5.618739008987195,0.069,0
2020-09-15T21:24:50Z,6.844,12.0066,4.5732,3.5534,76.453,56.426419,0.0576,0.784,15.531,69.7547,0.12372,5.762238112688331,0.074,0
2020-09-15T21:24:50Z,6.866,12.0049,4.5744,3.54,78.429,57.808237,0.0546,0.797,15.533,68.7999,0.12376,5.922531921617546,0.08,0
2020-09-15T21:24:50Z,6.888,11.9943,4.5233,3.571,80.324,59.136159,0.0559,0.776,15.534,68.2455,0.12376,6.078056257278914,0.085,0
2020-09-15T21:24:50Z,6.911,11.9561,4.4224,3.6882,81.202,59.712539,0.0573,0.742,15.536,67.6977,0.1238,6.155710688662374,0.087,0
