Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent.Rate..m.s.,Density_mg_m3,Flag
2020-06-18T07:01:02Z,4.139,11.7473,1.7401,4.33,51.368,37.788495,0.0689,0.991,6.594,187.4822,0.12373,3.791216319234668,0.025,999.5675,0
2020-06-18T07:01:02Z,4.145,11.755,1.7335,4.2331,51.517,37.899455,0.0713,1.015,6.594,186.927,0.12363,3.8021719154660887,0.026,999.5666,0
2020-06-18T07:01:02Z,4.152,11.7652,1.7206,4.2333,51.661,37.999296,0.0693,0.995,6.593,186.456,0.12363,3.8124773534780805,0.026,999.5655,0
2020-06-18T07:01:02Z,4.159,11.7737,1.737,4.2647,51.732,38.043676,0.0703,0.948,6.592,186.0042,0.12368,3.8172036749188227,0.026,999.5647,0
2020-06-18T07:01:02Z,4.166,11.7807,1.7885,4.3716,51.744,38.055229,0.0761,0.918,6.591,185.6798,0.12368,3.8174352994447487,0.026,999.564,0
2020-06-18T07:01:02Z,4.173,11.7839,1.8099,4.4271,51.748,38.075522,0.0782,0.916,6.589,185.5448,0.12368,3.817423898648281,0.025,999.5637,0
2020-06-18T07:01:02Z,4.179,11.7761,1.7956,4.4206,51.753,38.098652,0.0765,0.93,6.587,185.2319,0.12368,3.81861184518693,0.023,999.5647,0
2020-06-18T07:01:02Z,4.185,11.7631,1.7873000000000001,4.4309,51.806,38.144517,0.0709,0.947,6.586,184.6507,0.12369,3.8241120293818827,0.022,999.5661,0
2020-06-18T07:01:02Z,4.19,11.7633,1.7948,4.3803,51.962,38.249282,0.0687,0.952,6.586,184.1098,0.12371,3.8363834685095903,0.02,999.5662,0
2020-06-18T07:01:02Z,4.195,11.7854,1.8007,4.2206,52.132,38.349863,0.0692,0.954,6.586,183.6821,0.12372,3.847512387340247,0.018,999.5638,0
2020-06-18T07:01:02Z,4.199,11.8106,1.7926,4.113,52.254,38.408596,0.0703,0.956,6.585,183.2652,0.12372,3.854532497873679,0.018,999.5608,0
2020-06-18T07:01:02Z,4.202,11.8178,1.7816,4.1432,52.441,38.515111,0.072,0.925,6.584,182.5105,0.12371,3.8685163118872814,0.018,999.5601,0
2020-06-18T07:01:02Z,4.207,11.8063,1.7348,4.2082,52.624,38.622204,0.0728,0.893,6.582,181.1819,0.12369,3.8841202790153906,0.019,999.5616,0
2020-06-18T07:01:02Z,4.212,11.7825,1.6567,4.247,52.737,38.687934,0.0709,0.874,6.58,179.5917,0.12363,3.895497228458499,0.02,999.5643,0
2020-06-18T07:01:02Z,4.217,11.7477,1.6185,4.2341,52.989,38.865539,0.0749,0.825,6.579,177.9963,0.1236,3.919012136878404,0.021,999.5681,0
2020-06-18T07:01:02Z,4.223,11.7182,1.6069,4.1901,53.358,39.119408,0.0699,0.779,6.578,176.6905,0.12366,3.9512696935358687,0.023,999.5716,0
2020-06-18T07:01:02Z,4.23,11.6914,1.5447,4.1274,53.63,39.282115,0.0664,0.779,6.577,175.8481,0.12373,3.975627239303648,0.025,999.5746,0
2020-06-18T07:01:02Z,4.235,11.6696,1.4481,4.0593,53.811,39.372961,0.0686,0.803,6.575,175.1252,0.12378,3.992283059827672,0.027,999.577,0
2020-06-18T07:01:02Z,4.242,11.674,1.4115,4.0188,53.97,39.456134,0.0625,0.832,6.574,174.317,0.1238,4.0044106662979,0.028,999.5767,0
2020-06-18T07:01:02Z,4.251,11.6647,1.4169,3.9473,54.098,39.526059,0.0571,0.862,6.572,173.4755,0.12374,4.01555214275916,0.028,999.5779,0
2020-06-18T07:01:02Z,4.259,11.6207,1.4185,3.9502,54.2,39.583685,0.0588,0.87,6.57,172.7801,0.12368,4.028376801464557,0.027,999.5829,0
2020-06-18T07:01:02Z,4.266,11.5777,1.4311,4.0875,54.301,39.645093,0.0616,0.86,6.569,172.4485,0.12368,4.041043271103921,0.025,999.5875,0
2020-06-18T07:01:02Z,4.272,11.5481,1.446,4.1657,54.383,39.69728,0.0625,0.854,6.569,172.1329,0.12366,4.050771402581048,0.023,999.5908,0
2020-06-18T07:01:02Z,4.277,11.5273,1.4552,4.174,54.398,39.706889,0.0668,0.839,6.568,171.5449,0.12363,4.054223622403199,0.021,999.5932,0
2020-06-18T07:01:02Z,4.281,11.5125,1.4566,4.1881,54.381,39.697804,0.067,0.8,6.567,170.8459,0.12365,4.054478298692582,0.019,999.5949,0
2020-06-18T07:01:02Z,4.286,11.5013,1.4531,4.2,54.403,39.714382,0.0652,0.786,6.566,170.0477,0.1237,4.057448171002808,0.019,999.5961,0
2020-06-18T07:01:02Z,4.291,11.4929,1.4512,4.2144,54.416,39.71692,0.065,0.81,6.564,169.2934,0.12374,4.059397680046975,0.019,999.5971,0
2020-06-18T07:01:02Z,4.296,11.4914,1.4522,4.2248,54.355,39.665008,0.066,0.831,6.563,168.6956,0.12377,4.054700227153954,0.019,999.5972,0
2020-06-18T07:01:02Z,4.301,11.4975,1.4558,4.2233,54.253,39.594473,0.0595,0.823,6.563,168.0671,0.12374,4.045911712046699,0.019,999.5966,0
2020-06-18T07:01:02Z,4.306,11.5007,1.4659,4.1954,54.19,39.562291,0.0585,0.799,6.563,167.4597,0.1237,4.040546848848187,0.019,999.5963,0
